movie,year,imdb,metascore,votes,us_grossMillions,timeMin
Some Like It Hot,1959,8.2,98,255938,25.0,121
Boyhood,2014,7.9,100,345827,25.38,165
Let the Right One In,2008,7.9,82,211479,2.12,114
The Fall,2006,7.9,64,110086,2.28,117
Changeling,2008,7.7,63,247874,35.74,141
A Silent Voice: The Movie,2016,8.2,78,65987,,130
Mad Max 2: The Road Warrior,1981,7.6,77,173806,12.47,96
The Magnificent Seven,1960,7.7,74,91906,4.91,128
This Is Spinal Tap,1984,7.9,92,135460,4.74,82
Out of the Past,1947,8.0,,35358,,97
Planet of the Apes,1968,8.0,79,173266,33.4,112
Roma,2018,7.7,96,149768,,135
Eastern Promises,2007,7.6,82,235829,17.11,100
Akira,1988,8.0,,175732,0.55,124
The French Connection,1971,7.7,94,116832,15.63,104
Perfect Blue,1997,8.0,,67153,0.78,81
Searching,2018,7.6,71,153925,26.02,102
Sunset Blvd.,1950,8.4,,212685,,110
JFK,1991,8.0,72,149382,70.41,189
The Outlaw Josey Wales,1976,7.8,69,70485,31.8,135
Lucky Number Slevin,2006,7.7,53,306901,22.49,110
Lost Highway,1997,7.6,52,137214,3.8,134
End of Watch,2012,7.6,68,237324,41.0,109
My Neighbor Totoro,1988,8.2,86,314323,1.11,86
Chungking Express,1994,8.1,78,72998,0.6,102
Rio Bravo,1959,8.0,93,59600,12.54,141
Spartacus,1960,7.9,87,130543,30.0,197
Fried Green Tomatoes,1991,7.7,64,71343,82.42,130
La Haine,1995,8.1,,161874,0.31,98
Ben-Hur,1959,8.1,90,229889,74.7,212
Midnight Cowboy,1969,7.8,79,107165,44.79,113
Fanny and Alexander,1982,8.1,100,61353,4.97,188
Billy Elliot,2000,7.7,74,131207,22.0,110
Philadelphia,1993,7.7,66,233352,77.32,125
Flipped,2010,7.7,45,87031,1.75,90
The Conversation,1974,7.8,85,106571,4.42,113
Monty Python's Life of Brian,1979,8.1,77,383929,20.05,94
The Naked Gun: From the Files of Police Squad!,1988,7.6,76,161519,78.76,85
After Hours,1985,7.7,90,65401,10.6,97
Dogville,2003,8.0,60,144222,1.53,178
The Ten Commandments,1956,7.9,,67565,93.74,220
Before Midnight,2013,7.9,94,149896,8.11,109
The Skin I Live In,2011,7.6,70,146441,3.19,120
Before Sunset,2004,8.1,90,249892,5.82,80
Hero,2002,7.9,85,178203,53.71,120
Dog Day Afternoon,1975,8.0,86,247301,50.0,125
Kung Fu Hustle,2004,7.7,78,133839,17.11,99
Seven Pounds,2008,7.6,36,295153,69.95,123
Hachi: A Dog's Tale,2009,8.1,,268788,,93
Butch Cassidy and the Sundance Kid,1969,8.0,66,210000,102.31,110
M,1931,8.3,,151703,0.03,99
The Wrestler,2008,7.9,80,298046,26.24,109
The Secret in Their Eyes,2009,8.2,80,202242,6.39,129
Sling Blade,1996,8.0,84,91701,24.48,135
The Jungle Book,1967,7.6,65,173822,141.84,78
Glory,1989,7.8,78,130528,26.83,122
The Iron Giant,1999,8.0,85,182200,23.16,86
The Best Offer,2013,7.8,49,114184,0.09,131
Fallen Angels,1995,7.7,71,33787,,99
Evil Dead II,1987,7.7,72,156220,5.92,84
Being John Malkovich,1999,7.7,90,324651,22.86,113
My Fair Lady,1964,7.8,95,91374,72.0,170
